1	1	4
1	17	4
1	33	5
1	49	5
1	65	5
1	81	5
1	95	4
1	111	4
1	127	4
1	143	5
1	158	4
1	173	2
1	188	4
1	2	5
1	18	4
1	34	4
1	50	5
1	66	4
1	82	5
1	96	4
1	112	2
1	128	5
1	144	5
1	159	4
1	174	5
1	189	5
1	3	4
1	19	5
1	35	5
1	51	3
1	67	4
1	83	2
1	97	5
1	113	4
1	129	5
1	145	5
1	160	5
1	175	4
1	190	5
1	4	5
1	20	4
1	36	4
1	52	4
1	68	4
1	84	4
1	98	4
1	114	4
1	130	5
1	146	5
1	161	4
1	176	3
1	191	2
1	5	5
1	21	5
1	37	5
1	53	5
1	69	4
1	85	5
1	99	5
1	115	4
1	131	4
1	147	4
1	89	5
1	177	5
1	192	3
1	6	3
1	22	4
1	38	5
1	54	4
1	70	4
1	86	3
1	100	4
1	116	4
1	132	4
1	148	5
1	162	5
1	89	4
1	7	4
1	23	5
1	39	4
1	55	5
1	71	5
1	87	5
1	101	5
1	117	5
1	133	5
1	149	5
1	163	5
1	178	4
1	8	3
1	24	5
1	40	4
1	56	5
1	72	5
1	88	5
1	102	5
1	118	5
1	134	3
1	150	5
1	164	5
1	179	4
1	9	3
1	25	4
1	41	5
1	57	4
1	73	5
1	89	5
1	103	5
1	119	5
1	135	5
1	151	4
1	165	4
1	180	4
1	10	4
1	26	3
1	42	3
1	58	5
1	74	4
1	90	5
1	104	5
1	120	5
1	136	5
1	152	5
1	166	4
1	181	4
1	11	4
1	27	5
1	43	4
1	59	4
1	75	5
1	91	4
1	105	5
1	121	5
1	137	4
1	153	5
1	167	5
1	182	5
1	12	5
1	28	5
1	44	4
1	60	5
1	76	5
1	89	5
1	106	5
1	122	4
1	138	5
1	154	5
1	168	5
1	183	5
1	13	4
1	29	4
1	45	5
1	61	4
1	77	5
1	89	4
1	107	2
1	123	5
1	139	5
1	141	4
1	169	4
1	184	3
1	14	3
1	30	3
1	46	5
1	62	5
1	78	4
1	92	4
1	108	5
1	124	5
1	140	5
1	155	5
1	170	4
1	185	4
1	15	5
1	31	4
1	47	4
1	63	5
1	79	5
1	93	5
1	109	4
1	125	4
1	141	5
1	156	5
1	171	4
1	186	4
1	16	5
1	32	4
1	48	5
1	64	5
1	80	5
1	94	5
1	110	4
1	126	4
